probability,ticker
0.18318868,MMM
0.3236118,AOS
0.026674658,ABT
0.26375556,ABBV
0.62284863,ACN
0.88838947,ATVI
0.09330251,ADM
0.4102588,ADBE
0.0077637024,AAP
0.19213401,AMD
0.25841102,AES
0.8210118,AFL
0.08192064,A
0.68356,APD
0.8618198,AKAM
0.16976026,ALK
0.042824913,ALB
0.10394204,ARE
0.8122732,ALGN
0.0061826073,ALLE
0.0039236993,LNT
0.3386591,ALL
0.7194814,GOOGL
0.30196983,GOOG
0.16308022,MO
0.4650016,AMZN
0.5882778,AMCR
0.007162297,AEE
0.121211626,AAL
0.15463378,AEP
0.11183355,AXP
0.59538,AIG
0.013269024,AMT
0.07410441,AWK
0.57071924,AMP
0.10917303,ABC
0.43793854,AME
0.743867,AMGN
0.09816346,APH
0.12573461,ADI
0.36707014,ANSS
0.42510965,AON
0.8026801,APA
0.9352484,AAPL
0.46756288,AMAT
0.4466635,APTV
0.44338244,ANET
0.4451135,AJG
0.46916336,AIZ
0.95947266,T
0.27784175,ATO
0.41637373,ADSK
0.032264985,ADP
0.7880919,AZO
0.269776,AVB
0.72997546,AVY
0.7474647,BKR
0.099582,BAC
0.5485449,BBWI
0.0019617064,BAX
0.31578913,BDX
0.36324117,BRK-B
0.09447442,BBY
0.38143528,BIO
0.00025372033,TECH
0.010033753,BIIB
0.58562183,BLK
0.3019978,BK
0.19517203,BA
0.11574091,BKNG
0.5943685,BWA
0.6559574,BXP
0.44328764,BSX
0.25659415,BMY
0.15172392,AVGO
0.5697596,BR
0.9352765,BRO
0.077230744,BF-B
8.721152e-05,CHRW
0.84184664,CDNS
0.08500469,CZR
0.19243245,CPB
0.004386512,COF
0.06698175,CAH
0.01215181,KMX
0.043470744,CCL
0.26693225,CARR
0.52912897,CTLT
0.39685538,CAT
0.9634913,CBOE
0.007314904,CBRE
0.28623334,CDW
0.7504136,CE
0.3451175,CNC
0.008606857,CNP
0.08579603,CDAY
0.30000162,CF
0.059893075,CRL
0.009077952,SCHW
0.6571729,CHTR
0.95497054,CVX
0.4079197,CMG
0.8932592,CB
0.38552886,CHD
0.70042783,CI
0.44965333,CINF
0.56556803,CTAS
0.78191394,CSCO
0.03621241,C
0.02148276,CFG
0.000110015164,CLX
0.79307723,CME
0.016610498,CMS
0.12050546,KO
0.25315478,CTSH
0.0013818403,CL
0.7086831,CMCSA
0.007930123,CMA
0.5061513,CAG
0.2686377,COP
0.15702035,ED
0.033927117,STZ
0.5795998,CPRT
0.3097449,GLW
0.105244614,CTVA
0.4896739,COST
0.4259706,CTRA
0.20531173,CCI
0.5775356,CSX
0.57177335,CMI
0.3993678,CVS
0.036222287,DHI
0.36247978,DHR
0.017111298,DRI
0.66629297,DVA
0.5293674,DE
0.114408284,DAL
0.72259617,XRAY
0.03256673,DVN
0.26323906,DXCM
0.8709025,FANG
0.6989132,DLR
0.48380154,DFS
0.031357937,DISH
0.0003562708,DG
0.0020624914,DLTR
0.18684877,D
0.24616782,DPZ
0.40169746,DOV
0.297034,DOW
0.116830125,DTE
0.039311193,DUK
0.13135284,DD
0.6170476,DXC
0.10264319,EMN
0.08884924,ETN
0.04063672,EBAY
0.0015999464,ECL
0.12898186,EIX
0.4187999,EW
0.07970974,EA
0.2314564,LLY
0.74911034,EMR
0.13020279,ENPH
0.10212696,ETR
0.10324794,EOG
0.38845256,EFX
0.1130478,EQIX
0.48184478,EQR
0.005434781,ESS
0.5327655,EL
0.013999788,ETSY
4.2498737e-06,EVRG
0.033292998,ES
0.03295142,EXC
0.2761653,EXPE
0.104906395,EXPD
0.54750705,EXR
0.99933535,XOM
0.8328522,FFIV
0.00948958,FAST
0.35628426,FRT
0.80820435,FDX
0.4995931,FIS
0.5703442,FITB
0.22317573,FE
0.17668314,FLT
0.5559582,FMC
0.31716445,F
0.20420586,FTNT
0.053325195,FTV
0.08381639,FOXA
0.3047417,FOX
0.12207853,BEN
0.041207045,FCX
0.5202794,GPS
0.41731766,GRMN
0.42465565,IT
0.0013228996,GNRC
0.6098439,GD
0.1486821,GE
0.17071876,GIS
0.046389904,GM
2.2346492e-06,GPC
0.9510353,GILD
0.124625646,GPN
0.71522486,GL
0.14395155,GS
0.48987147,HAL
0.4577846,HBI
0.06584429,HAS
0.31739137,HCA
0.8902715,PEAK
0.21421815,HSIC
0.19005965,HES
0.40144613,HPE
0.59533465,HLT
0.050267108,HOLX
0.05157107,HD
0.35966262,HON
0.27190125,HRL
0.5557815,HST
0.0240243,HWM
2.2173133e-05,HPQ
0.6101279,HUM
0.8147755,HBAN
0.09455148,HII
0.73681027,IBM
0.13661553,IEX
0.025292572,IDXX
0.18549165,ITW
0.005245954,ILMN
0.86382335,INCY
0.17214034,IR
0.48145658,INTC
0.13215725,ICE
0.537977,IFF
0.72667325,IP
0.670673,IPG
0.06869338,INTU
0.47588846,ISRG
0.53021646,IVZ
0.018556714,IPGP
0.4470398,IQV
0.606292,IRM
0.18652636,JBHT
0.41946808,JKHY
0.45833787,J
2.6041957e-05,SJM
0.36786994,JNJ
0.3112587,JCI
0.3364253,JPM
0.0628222,JNPR
0.054937664,K
0.032518134,KEY
0.06202828,KEYS
0.08889528,KMB
0.0016778423,KIM
0.71347123,KMI
0.019713134,KLAC
0.39101574,KHC
0.18112701,KR
0.318502,LHX
0.00046047114,LH
0.11841258,LRCX
0.535147,LW
0.0018620037,LVS
0.029816644,LEG
0.0036095523,LDOS
0.3202109,LEN
0.1889273,LNC
0.21272121,LIN
0.3377102,LYV
0.00021712437,LKQ
3.867678e-05,LMT
0.8527217,L
0.16574828,LOW
0.24956861,LUMN
0.41791698,LYB
0.45166853,MTB
0.872898,MRO
0.19919258,MPC
0.0061710267,MKTX
0.052437264,MAR
0.8514436,MMC
0.055893186,MLM
0.054962624,MAS
0.78755784,MA
0.021874813,MTCH
0.07696995,MKC
0.0070207817,MCD
0.85746527,MCK
0.6395952,MDT
0.81015843,MRK
0.8589016,MET
0.05366374,MTD
0.20303042,MGM
0.3092,MCHP
0.5589913,MU
0.086280935,MSFT
0.004704341,MAA
0.12638438,MRNA
0.0041683037,MHK
0.52970684,TAP
0.11079994,MDLZ
0.49362695,MPWR
0.6373655,MNST
0.1542987,MCO
0.1601208,MS
0.022127997,MSI
0.36280102,MSCI
0.8848541,NDAQ
0.06854995,NTAP
0.0004533287,NFLX
0.42228076,NWL
0.5755321,NEM
0.52071047,NWSA
0.7328758,NWS
0.0039601824,NEE
0.5911684,NKE
0.32610208,NI
0.33217338,NSC
0.0028999601,NTRS
0.30853498,NOC
0.13071975,NCLH
0.08873599,NRG
1.7030936e-05,NUE
0.50693315,NVDA
0.06239529,NVR
0.43706515,NXPI
0.27088356,ORLY
0.51444924,OXY
0.28859487,ODFL
0.12503599,OMC
0.2936839,OKE
0.1604319,ORCL
0.3404426,OGN
0.24732162,OTIS
0.26828393,PCAR
0.6360919,PKG
0.5440385,PH
0.036332563,PAYX
0.028920121,PAYC
0.09184065,PYPL
0.07337043,PENN
0.19427054,PNR
0.013619369,PEP
1.2022081e-05,PFE
0.5271696,PM
0.6259653,PSX
0.14219873,PNW
0.05752093,PXD
0.4514886,PNC
0.026597915,POOL
1.3872227e-05,PPG
0.4172002,PPL
0.27639395,PFG
0.3229755,PG
0.9694072,PGR
0.0015878971,PLD
0.8096996,PRU
0.09196941,PTC
0.0004745143,PEG
0.0406817,PSA
0.20686732,PHM
9.361985e-05,PVH
0.3945322,QRVO
0.43641248,QCOM
0.264103,PWR
0.0052486015,DGX
0.12060478,RL
0.01629364,RJF
0.0013944242,RTX
0.032898467,O
0.6086877,REG
0.38375103,REGN
0.2943439,RF
0.5183781,RSG
0.11561805,RMD
0.4071386,RHI
0.030338079,ROK
0.0017602468,ROL
0.51933044,ROP
0.7195287,ROST
0.019472338,RCL
0.1691402,SPGI
0.38089827,CRM
0.40898547,SBAC
0.5066599,SLB
0.30921113,STX
0.00019954564,SEE
0.6916493,SRE
0.43921053,NOW
0.10585255,SHW
0.2584784,SPG
0.1536653,SWKS
0.4615054,SNA
0.17901455,SO
0.036351442,LUV
0.019910887,SWK
0.048479732,SBUX
0.03405107,STT
0.07062211,STE
0.9236223,SYK
0.7823242,SYF
0.94836473,SNPS
0.0023384998,SYY
0.45455846,TMUS
0.20979638,TROW
0.1250644,TTWO
0.070496075,TPR
0.012271564,TGT
0.05432876,TEL
0.66412836,TDY
0.021442782,TFX
0.022924503,TER
0.47394013,TSLA
0.03055732,TXN
0.7345146,TXT
0.01301717,COO
0.36119148,HIG
0.019079756,HSY
0.37527007,MOS
0.95499516,TRV
0.22211482,DIS
0.6964222,TMO
0.78260976,TJX
0.017766712,TSCO
0.21750335,TT
0.18480207,TDG
0.437018,TRMB
0.15485662,TFC
0.43164194,TYL
0.03817165,TSN
0.88014156,USB
0.001044351,UDR
0.014162203,ULTA
2.8363239e-08,UAA
0.56892353,UA
0.37696984,UNP
0.22097835,UAL
0.6456764,UPS
0.80907553,URI
0.944395,UNH
0.02201582,UHS
0.9324673,VLO
0.110037625,VTR
0.106125996,VRSN
0.8065923,VRSK
0.7326707,VZ
0.64155346,VRTX
0.5617441,VFC
0.117933385,VTRS
0.05921587,V
0.6671022,VNO
0.065723084,VMC
0.5071076,WRB
0.11249292,GWW
0.24972555,WAB
0.0041165487,WBA
0.74186856,WMT
0.55547804,WM
0.017505022,WAT
0.030648215,WEC
0.39066768,WFC
0.53111017,WELL
0.6729088,WST
0.7487328,WDC
0.9993632,WU
0.99775374,WRK
0.1663276,WY
0.002769776,WHR
0.6960857,WMB
0.41593003,WYNN
0.16859129,XEL
0.015211277,XYL
0.0076407096,YUM
0.012387762,ZBRA
0.14550947,ZBH
0.1412044,ZION
0.42186737,ZTS
