probability,ticker
0.9993632,WU
0.99933535,XOM
0.99775374,WRK
0.9694072,PGR
0.9634913,CBOE
0.95947266,T
0.95499516,TRV
0.95497054,CVX
0.9510353,GILD
0.94836473,SNPS
0.944395,UNH
0.9352765,BRO
0.9352484,AAPL
0.9324673,VLO
0.9236223,SYK
0.8932592,CB
0.8902715,PEAK
0.88838947,ATVI
0.8848541,NDAQ
0.88014156,USB
0.872898,MRO
0.8709025,FANG
0.86382335,INCY
0.8618198,AKAM
0.8589016,MET
0.85746527,MCK
0.8527217,L
0.8514436,MMC
0.84184664,CDNS
0.8328522,FFIV
0.8210118,AFL
0.8147755,HBAN
0.8122732,ALGN
0.81015843,MRK
0.8096996,PRU
0.80907553,URI
0.80820435,FDX
0.8065923,VRSK
0.8026801,APA
0.79307723,CME
0.7880919,AZO
0.78755784,MA
0.78260976,TJX
0.7823242,SYF
0.78191394,CSCO
0.7504136,CE
0.74911034,EMR
0.7487328,WDC
0.7474647,BKR
0.743867,AMGN
0.74186856,WMT
0.73681027,IBM
0.7345146,TXT
0.7328758,NWS
0.7326707,VZ
0.72997546,AVY
0.72667325,IP
0.72259617,XRAY
0.7195287,ROST
0.7194814,GOOGL
0.71522486,GL
0.71347123,KMI
0.7086831,CMCSA
0.70042783,CI
0.6989132,DLR
0.6964222,TMO
0.6960857,WMB
0.6916493,SRE
0.68356,APD
0.6729088,WST
0.670673,IPG
0.6671022,VNO
0.66629297,DVA
0.66412836,TDY
0.6571729,CHTR
0.6559574,BXP
0.6456764,UPS
0.64155346,VRTX
0.6395952,MDT
0.6373655,MNST
0.6360919,PKG
0.6259653,PSX
0.62284863,ACN
0.6170476,DXC
0.6101279,HUM
0.6098439,GD
0.6086877,REG
0.606292,IRM
0.59538,AIG
0.59533465,HLT
0.5943685,BWA
0.5911684,NKE
0.5882778,AMCR
0.58562183,BLK
0.5795998,CPRT
0.5775356,CSX
0.5755321,NEM
0.57177335,CMI
0.57071924,AMP
0.5703442,FITB
