tickers,Sum
ADI,9
MO,9
FISV,9
CI,9
AAPL,8
MOS,8
LIN,8
GL,8
AON,8
CAT,8
TPR,8
CCI,8
CTRA,8
HLT,8
PAYX,8
VLO,8
SLB,8
AIG,8
KMB,8
PFG,8
VRSK,8
AVGO,8
VTRS,8
WAB,8
CHRW,8
PXD,8
CHTR,8
CF,8
TSLA,8
WRK,8
XOM,8
RHI,8
TDG,8
ODFL,8
MAR,8
FOX,8
ABBV,8
EA,8
RTX,8
EXC,8
FOXA,8
HBAN,7
CTAS,7
CSCO,7
IT,7
HIG,7
CLX,7
UDR,7
HST,7
CTSH,7
HUM,7
FIS,7
ESS,7
SPG,7
ENPH,7
CB,7
FRT,7
CVX,7
EXPE,7
TWTR,7
IR,7
CNC,7
V,7
CMCSA,7
ULTA,7
HON,7
CAG,7
GD,7
GE,7
URI,7
NKE,7
GILD,7
DD,7
DXC,7
DAL,7
NLSN,7
HAL,7
DIS,7
DHR,7
ETN,7
CVS,7
UHS,7
FBHS,7
EIX,7
GLW,7
OXY,7
ED,7
FTV,7
UNP,7
COP,7
MRK,7
NVR,7
VNO,7
KHC,7
STT,7
QCOM,7
MCHP,7
WM,7
KEYS,7
MPC,7
TEL,7
AVB,7
AMCR,7
A,7
AIZ,7
AAL,7
APA,7
MAA,7
ANSS,7
APH,7
AME,7
SYY,7
MTCH,7
MAS,7
LKQ,7
IRM,7
CAH,7
ADM,7
CPB,7
MGM,7
ZBH,7
IQV,7
BR,7
ACN,7
ABMD,7
BSX,7
JBHT,7
BWA,7
AFL,7
MCD,7
TT,6
MTD,6
NSC,6
MCK,6
TJX,6
L,6
GPS,6
F,6
TFC,6
LOW,6
NCLH,6
LYB,6
NTRS,6
MRO,6
SYF,6
MMC,6
MA,6
SNA,6
SYK,6
STE,6
LYV,6
ITW,6
TDY,6
HSY,6
SJM,6
J,6
IBM,6
IPGP,6
TXT,6
JCI,6
IVZ,6
ISRG,6
MSCI,6
SBUX,6
AOS,6
MSI,6
HWM,6
JPM,6
GIS,6
HES,6
GPN,6
TROW,6
IFF,6
MHK,6
TRV,6
TAP,6
MPWR,6
HRL,6
LHX,6
KR,6
KMI,6
KIM,6
KEY,6
K,6
IP,6
FTNT,6
EXR,6
COF,6
SEE,6
BLK,6
BK,6
BA,6
BKNG,6
PNC,6
BMY,6
GWW,6
CZR,6
WRB,6
PYPL,6
PSX,6
CBOE,6
CBRE,6
NXPI,6
CDAY,6
PFE,6
PEP,6
CMG,6
NOW,6
BRK.B,6
BKR,6
WFC,6
ADP,6
ZION,6
ADBE,6
RCL,6
APD,6
ALB,6
YUM,6
XEL,6
REG,6
WMB,6
RL,6
AMP,6
ABC,6
AMGN,6
QRVO,6
AMAT,6
PSA,6
T,6
PEG,6
ADSK,6
C,6
CDW,6
PAYC,6
XRAY,6
DXCM,6
FANG,6
OTIS,6
DLTR,6
UAL,6
MET,6
DOW,6
DTE,6
OKE,6
EMN,6
LLY,6
ETR,6
EOG,6
EQIX,6
EQR,6
USB,6
ETSY,6
TSN,6
ES,6
DVN,6
DPZ,6
UNH,6
DVA,6
PKG,6
KO,6
CL,6
VRSN,6
CSX,6
COST,6
VTR,6
MCO,5
PWR,5
DGX,5
PKI,5
MSFT,5
NOC,5
SBAC,5
NDAQ,5
O,5
REGN,5
LUV,5
RF,5
RSG,5
ORLY,5
NVDA,5
ROL,5
SO,5
SRE,5
OMC,5
PRU,5
PH,5
NI,5
PCAR,5
PPG,5
PPL,5
NEE,5
PG,5
PGR,5
SHW,5
NEM,5
NWS,5
PTC,5
PNW,5
NWSA,5
MDLZ,5
ORCL,5
PHM,5
PVH,5
OGN,5
IPG,5
MDT,5
CNP,5
WMT,5
BIO,5
WBA,5
BIIB,5
BXP,5
CDNS,5
CCL,5
VMC,5
CERN,5
BBWI,5
CRL,5
SCHW,5
CINF,5
CFG,5
VRTX,5
CME,5
CTVA,5
DRI,5
BAX,5
WEC,5
SIVB,5
GOOGL,5
ABT,5
AAP,5
AES,5
AKAM,5
ALK,5
XYL,5
WYNN,5
ALL,5
GOOG,5
BLL,5
AEE,5
AEP,5
WY,5
AMT,5
WU,5
ANET,5
AJG,5
ATO,5
DE,5
DLR,5
HSIC,5
HAS,5
DG,5
HPE,5
HOLX,5
IEX,5
IDXX,5
ICE,5
INTU,5
TFX,5
JNPR,5
LH,5
TGT,5
LW,5
LEG,5
LDOS,5
LUMN,5
SNPS,5
MLM,5
HCA,5
ROP,5
FITB,5
EXPD,5
GM,5
DUK,5
DRE,5
EBAY,5
ECL,5
FLT,5
EW,5
FE,5
RE,5
GPC,5
FDX,5
CRM,4
TMUS,4
TMO,4
TYL,4
SWKS,4
TER,4
WST,4
SWK,4
TRMB,4
ROST,4
WELL,4
TSCO,4
UPS,4
MMM,4
FAST,4
EVRG,4
DHI,4
DFS,4
D,4
EMR,4
EFX,4
EL,4
FFIV,4
STZ,4
FRC,4
FMC,4
GS,4
PEAK,4
HD,4
HPQ,4
CMI,4
CMA,4
ILMN,4
ANTM,4
ATVI,4
AMD,4
ARE,4
ALGN,4
LNT,4
AXP,4
AVY,4
CHD,4
BAC,4
BDX,4
BBY,4
BRO,4
KMX,4
CARR,4
HII,4
ZTS,4
LNC,4
KLAC,4
NUE,4
LMT,4
MKTX,4
LEN,4
MKC,4
LVS,4
MU,4
LRCX,4
MTB,4
PENN,4
NWL,4
POOL,4
JNJ,4
NFLX,4
PLD,4
NTAP,4
TECH,3
CTLT,3
WAT,3
COO,3
AZO,3
APTV,3
MS,3
WDC,3
PNR,3
AWK,3
WHR,3
AMZN,3
STX,3
ZBRA,3
RMD,3
CE,3
VZ,3
VFC,3
UA,3
INCY,3
INTC,3
JKHY,3
GNRC,3
GRMN,3
FCX,3
BEN,3
CTXS,3
UAA,3
ROK,3
DOV,3
DISH,3
CPRT,3
MRNA,3
MNST,3
CMS,3
TXN,3
SPGI,2
NRG,2
PM,2
NLOK,2
ALLE,2
HBI,2
BF.B,2
RJF,2
TTWO,2
