,Symbol,api_industry
0,A,life_sciences
1,AA,manufacturing
2,AAIC,real_estate
3,AAIN,real_estate
4,AAN,financial_markets
5,AAP,retail_wholesale
6,AAT,real_estate
7,AB,finance
8,ABBV,life_sciences
9,ABG,retail_wholesale
10,ABM,financial_markets
11,ABR,real_estate
12,ABT,life_sciences
13,AC,finance
14,ACA,manufacturing
15,ACCO,financial_markets
16,ACEL,retail_wholesale
17,ACHR,technology
18,ACI,retail_wholesale
19,ACM,manufacturing
20,ACP,finance
21,ACR,real_estate
22,ACRE,real_estate
23,ACV,finance
24,ADC,real_estate
25,ADM,manufacturing
26,ADNT,manufacturing
27,ADT,financial_markets
28,ADX,finance
29,AEE,energy_transportation
30,AEL,financial_markets
31,AEO,retail_wholesale
32,AES,energy_transportation
33,AESC,energy_transportation
34,AFB,retail_wholesale
35,AFG,financial_markets
36,AFGB,financial_markets
37,AFGC,financial_markets
38,AFGE,financial_markets
39,AFL,financial_markets
40,AGCO,manufacturing
41,AGD,retail_wholesale
42,AGL,life_sciences
43,AGM,finance
44,AGR,energy_transportation
45,AGS,manufacturing
46,AGTI,life_sciences
47,AGX,real_estate
48,AHH,real_estate
49,AHT,real_estate
50,AI,technology
51,AIC,real_estate
52,AIG,financial_markets
53,AIN,earnings
54,AIR,technology
55,AIRC,real_estate
56,AIT,manufacturing
57,AIV,real_estate
58,AIZ,financial_markets
59,AIZN,financial_markets
60,AJG,financial_markets
61,AJX,real_estate
62,AJXA,real_estate
63,AKR,real_estate
64,AL,financial_markets
65,ALB,life_sciences
66,ALE,energy_transportation
67,ALEX,real_estate
68,ALG,manufacturing
69,ALIT,technology
70,ALK,energy_transportation
71,ALL,financial_markets
72,ALLE,financial_markets
73,ALLY,financial markets
74,ALSN,manufacturing
75,ALTG,manufacturing
76,ALX,real_estate
77,AM,energy_transportation
78,AMBC,financial_markets
79,AMC,technology
80,AME,manufacturing
81,AMG,finance
82,AMH,real_estate
83,AMK,finance
84,AMN,real_estate
85,AMP,finance
86,AMPX,manufacturing
87,AMPY,energy_transportation
88,AMR,energy_transportation
89,AMRC,real_estate
90,AMRX,life_sciences
91,AMT,real_estate
92,AMTB,financial markets
93,AMWL,retail_wholesale
94,AN,retail_wholesale
95,ANET,technology
96,ANF,retail_wholesale
97,ANVS,life_sciences
98,AOD,finance
99,AOMR,real_estate
100,AON,financial_markets
101,AORT,life_sciences
102,AOS,technology
103,AP,real_estate
104,APAM,finance
105,APD,life_sciences
106,APH,technology
107,APLE,real_estate
108,APRN,retail_wholesale
109,AQN,energy_transportation
110,AQNA,energy_transportation
111,AQNB,energy_transportation
112,AQNU,energy_transportation
113,AR,energy_transportation
114,ARC,technology
115,ARCH,energy_transportation
116,ARDC,finance
117,ARE,real_estate
118,ARES,finance
119,ARI,real_estate
120,ARIS,energy_transportation
121,ARLO,technology
122,ARMK,retail_wholesale
123,AROC,energy_transportation
124,ARR,real_estate
125,ARW,technology
126,ASA,manufacturing
127,ASAN,retail_wholesale
128,ASB,financial markets
129,ASBA,financial markets
130,ASG,finance
131,ASGN,technology
132,ASH,manufacturing
133,ASIX,life_sciences
134,ASPN,retail_wholesale
135,ATEN,technology
136,ATI,financial_markets
137,ATKR,manufacturing
138,ATO,energy_transportation
139,ATR,manufacturing
140,ATUS,technology
141,AUB,financial markets
142,AVA,energy_transportation
143,AVB,real_estate
144,AVD,life_sciences
145,AVK,retail_wholesale
146,AVNS,manufacturing
147,AVNT,life_sciences
148,AVTR,life_sciences
149,AVY,manufacturing
150,AWF,retail_wholesale
151,AWI,manufacturing
152,AWK,energy_transportation
153,AWP,retail_wholesale
154,AWR,energy_transportation
155,AX,financial_markets
156,AXL,manufacturing
157,AXP,finance
158,AXR,real_estate
159,AXTA,manufacturing
160,AYI,real_estate
161,AYX,technology
162,AZEK,manufacturing
163,AZO,retail_wholesale
164,AZZ,manufacturing
165,B,manufacturing
166,BA,technology
167,BAC,financial markets
168,BAH,technology
169,BALL,manufacturing
170,BALY,real_estate
171,BANC,financial markets
172,BAX,life_sciences
173,BBDC,financial_markets
174,BBN,finance
175,BBW,retail_wholesale
176,BBWI,retail_wholesale
177,BBY,technology
178,BC,manufacturing
179,BCAT,finance
180,BCC,retail_wholesale
181,BCO,energy_transportation
182,BCSF,finance
183,BCX,finance
184,BDC,technology
185,BDJ,finance
186,BDN,real_estate
187,BDX,life_sciences
188,BE,manufacturing
189,BEN,finance
190,BERY,manufacturing
191,BFAM,retail_wholesale
192,BFH,technology
193,BFK,finance
194,BFLY,life_sciences
195,BFS,real_estate
196,BFZ,finance
197,BG,manufacturing
198,BGB,retail_wholesale
199,BGH,finance
200,BGR,retail_wholesale
201,BGS,manufacturing
202,BGSF,technology
203,BGT,retail_wholesale
204,BGY,retail_wholesale
205,BH,retail_wholesale
206,BHE,technology
207,BHG,life_sciences
208,BHIL,manufacturing
209,BHK,finance
210,BHLB,finance
211,BHR,real_estate
212,BHV,finance
213,BHVN,life_sciences
214,BIG,real_estate
215,BILL,technology
216,BIO,life_sciences
217,BJ,real_estate
218,BK,financial markets
219,BKD,life_sciences
220,BKE,retail_wholesale
221,BKH,energy_transportation
222,BKKT,technology
223,BKN,retail_wholesale
224,BKSY,retail_wholesale
225,BKT,finance
226,BKU,financial_markets
227,BLD,real_estate
228,BLDR,retail_wholesale
229,BLE,finance
230,BLK,finance
231,BLND,technology
232,BLW,retail_wholesale
233,BME,retail_wholesale
234,BMI,manufacturing
235,BMY,life_sciences
236,BNED,retail_wholesale
237,BNL,real_estate
238,BNY,retail_wholesale
239,BOAC,ipo
240,BOC,real_estate
241,BODY,manufacturing
242,BOE,retail_wholesale
243,BOH,financial markets
244,BOOT,retail_wholesale
245,BOWL,retail_wholesale
246,BOX,technology
247,BPT,energy_transportation
248,BR,technology
249,BRBR,retail_wholesale
250,BRC,manufacturing
251,BRCC,retail_wholesale
252,BRDG,finance
